Index  Base64  Base64Url

0      A       A
1      B       B
2      C       C
3      D       D
4      E       E
5      F       F
6      G       G
7      H       H
8      I       I
9      J       J
10     K       K
11     L       L
12     M       M
13     N       N
14     O       O
15     P       P
16     Q       Q
17     R       R
18     S       S
19     T       T
20     U       U
21     V       V
22     W       W
23     X       X
24     Y       Y
25     Z       Z
26     a       a
27     b       b
28     c       c
29     d       d
30     e       e
31     f       f
32     g       g
33     h       h
34     i       i
35     j       j
36     k       k
37     l       l
38     m       m
39     n       n
40     o       o
41     p       p
42     q       q
43     r       r
44     s       s
45     t       t
46     u       u
47     v       v
48     w       w
49     x       x
50     y       y
51     z       z
52     0       0
53     1       1
54     2       2
55     3       3
56     4       4
57     5       5
58     6       6
59     7       7
60     8       8
61     9       9
62     +       -
63     /       _

       =       (optional)
